2022-04-15 18:00:58.409 [main] INFO  calculator.Calculator - Result: 2.8903717578961645
2022-04-15 18:00:58.409 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 56.0...
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Result: 4.02535169073515
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Calculating factorial of: 5.0...
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Result: 120.0
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Calculating factorial of: 7.0...
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Result: 5040.0
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Calculating exponentiation of: 2.0 to the power of 3.0...
2022-04-15 18:00:58.410 [main] INFO  calculator.Calculator - Result: 8.0
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Calculating exponentiation of: 8.0 to the power of 3.0...
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Result: 512.0
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Calculating exponentiation of: 5.0 to the power of 2.0...
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Result: 25.0
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Calculating exponentiation of: 7.0 to the power of 3.0...
2022-04-15 18:00:58.411 [main] INFO  calculator.Calculator - Result: 343.0
2022-04-15 19:15:44.720 [main] INFO  calculator.Calculator - Calculating factorial of: 4.0...
2022-04-15 19:15:44.722 [main] INFO  calculator.Calculator - Result: 24.0
2022-04-15 19:15:44.722 [main] INFO  calculator.Calculator - Calculating factorial of: 6.0...
2022-04-15 19:15:44.722 [main] INFO  calculator.Calculator - Result: 720.0
2022-04-15 19:15:44.722 [main] INFO  calculator.Calculator - Calculating square root of: 25.0...
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Result: 5.0
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Calculating square root of: 196.0...
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Result: 14.0
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 1.0...
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Result: 0.0
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Calculating natural logarithm of: -3.0...
2022-04-15 19:15:44.723 [main] INFO  calculator.Calculator - Result: NaN
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Calculating square root of: 20.0...
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Result: 4.47213595499958
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Calculating square root of: 76.0...
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Result: 8.717797887081348
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 18.0...
2022-04-15 19:15:44.724 [main] INFO  calculator.Calculator - Result: 2.8903717578961645
2022-04-15 19:15:44.725 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 56.0...
2022-04-15 19:15:44.725 [main] INFO  calculator.Calculator - Result: 4.02535169073515
